atom_i	atom_j	sym_i	sym_j	bond_type	length	min_len	max_len	ok
1	3	O	C	DOUBLE	1.2621	0.9230	1.9460	1
2	3	O	C	SINGLE	1.2592	0.9230	2.0460	1
3	4	C	C	SINGLE	1.5537	0.9880	2.1760	1
4	5	C	O	SINGLE	1.4510	0.9230	2.0460	1
4	6	C	C	SINGLE	1.5471	0.9880	2.1760	1
4	14	C	H	SINGLE	1.1111	0.6955	1.5910	1
5	15	O	H	SINGLE	0.9598	0.6305	1.4610	1
6	7	C	O	SINGLE	1.4307	0.9230	2.0460	1
6	8	C	C	SINGLE	1.5576	0.9880	2.1760	1
6	16	C	H	SINGLE	1.1105	0.6955	1.5910	1
7	17	O	H	SINGLE	0.9598	0.6305	1.4610	1
8	10	C	C	SINGLE	1.5683	0.9880	2.1760	1
8	18	C	H	SINGLE	1.1111	0.6955	1.5910	1
8	19	C	H	SINGLE	1.1108	0.6955	1.5910	1
9	10	O	C	SINGLE	1.4427	0.9230	2.0460	1
9	20	O	H	SINGLE	0.9595	0.6305	1.4610	1
10	11	C	C	SINGLE	1.5709	0.9880	2.1760	1
10	21	C	H	SINGLE	1.1108	0.6955	1.5910	1
11	12	C	O	DOUBLE	1.2581	0.9230	1.9460	1
11	13	C	O	SINGLE	1.2644	0.9230	2.0460	1
